Bancs;camera;zone;Pop;5_degres_C_TMG_h;5_degres_C_TMG_j;Aire_sous_la_courbe;15_j;16 _j;17_j;18 _j;19_j ;20 _j;21_j
4;3;14;802;385,71;16,07;6736;8;28;36;48;52;52;56
3;1;44;802;359,27;14,97;6456;24;28;28;36;40;44;44
3;3;31;802;353,89;14,75;11560;40;52;64;68;72;76;76
4;4;36;802;323,29;13,47;12424;40;52;60;64;68;68;68
4;3;12;802;402,55;16,77;4552;12;20;28;28;32;40;44
4;1;44;802;399,33;16,64;5120;4;12;28;36;40;40;48
3;1;45;802;350,80;14,62;6208;20;36;36;36;40;40;40
3;3;22;802;435,11;18,13;2552;4;4;16;16;24;28;36
4;4;12;802;376,89;15,70;4648;16;16;20;28;32;32;36
3;2;24;802;367,20;15,30;8328;24;36;56;56;56;56;60
4;4;32;802;326,53;13,61;13640;60;68;76;76;76;76;76
3;3;34;802;372,67;15,53;6400;20;28;32;40;48;48;48
3;3;43;802;406,74;16,95;7544;8;24;44;56;72;72;76
4;4;32;802;405,71;16,90;8424;12;24;44;72;76;80;84
3;3;16;802;412,53;17,19;5608;16;20;32;40;52;52;60
3;2;31;802;375,27;15,64;5752;16;20;28;36;40;40;44
3;1;12;802;383,75;15,99;7824;20;32;44;56;64;64;64
4;4;21;802;397,50;16,56;3472;8;16;20;20;28;28;32
3;3;33;802;380,40;15,85;10048;28;48;68;72;76;76;80
4;3;43;802;350,29;14,60;13080;56;68;72;80;80;80;84
4;4;44;802;371,38;15,47;7000;16;24;36;44;52;52;52
4;2;43;802;426,40;17,77;3184;0;8;12;20;32;40;40
3;3;12;802;368,62;15,36;7144;24;32;44;44;48;48;52
4;3;26;802;366,35;15,26;9496;28;36;56;56;60;60;68
4;1;25;802;395,76;16,49;7496;12;36;44;52;60;64;68
4;4;35;802;400,27;16,68;6344;16;28;36;40;48;56;60
3;4;36;802;360,00;15,00;11680;36;56;72;72;76;80;80
4;3;31;802;341,71;14,24;13800;64;68;84;84;84;84;84
4;2;12;802;394,22;16,43;8048;16;36;48;60;64;68;72
4;4;21;802;370,89;15,45;9728;32;44;56;68;72;72;72
3;2;42;802;385,00;16,04;3872;8;20;28;28;32;32;32
3;2;41;802;360,00;15,00;7008;24;28;36;40;44;48;48
3;1;21;802;411,20;17,13;5688;8;16;20;44;52;60;60
4;1;35;802;387,71;16,15;6624;20;32;40;48;52;52;56
4;1;43;802;384,86;16,04;6784;12;20;48;56;56;56;56
4;4;31;802;378,35;15,76;8680;28;44;48;52;56;60;68
3;2;24;802;390,46;16,27;6008;12;28;40;40;44;48;52
4;3;33;802;376,36;15,68;5704;24;32;32;36;40;40;44
4;1;21;802;388,00;16,17;9440;12;36;60;68;80;80;80
4;3;13;802;354,50;14,77;9696;32;48;60;64;64;64;64
4;1;42;802;406,00;16,92;4800;8;16;24;28;32;40;48
4;4;22;802;386,77;16,12;6200;8;28;40;44;48;52;52
3;4;35;802;403,67;16,82;4912;8;16;28;36;44;44;48
3;1;11;802;360,25;15,01;9328;32;44;56;56;60;60;64
4;4;42;802;348,92;14,54;8168;32;32;40;48;48;52;52
4;3;43;802;408,00;17,00;3920;4;12;24;28;36;40;40
3;2;15;802;370,40;15,43;10848;32;52;56;72;76;80;80
4;4;13;802;353,71;14,74;8528;32;40;48;52;56;56;56
3;2;34;802;426,50;17,77;2544;0;4;16;20;28;28;32
4;1;33;802;443,43;18,48;1752;0;0;0;12;20;28;28
3;1;32;802;370,29;15,43;7600;16;28;44;52;52;56;56
4;3;11;802;431,38;17,97;3880;0;12;20;24;36;44;52
3;2;32;802;389,33;16,22;5600;20;32;36;40;40;40;48
4;4;33;802;402,13;16,76;6232;4;12;28;48;56;60;60
3;1;16;802;375,67;15,65;6256;20;40;40;44;48;48;48
3;1;34;802;361,25;15,05;9264;32;48;56;60;64;64;64
4;4;23;802;392,57;16,36;6352;24;28;40;40;48;52;56
4;1;13;802;406,50;16,94;6368;12;20;44;52;52;52;64
4;4;45;802;396,31;16,51;5704;16;24;32;40;48;48;52
3;1;24;802;377,50;15,73;8224;20;36;52;60;64;64;64
4;4;11;802;402,00;16,75;4160;4;16;20;32;36;40;40
4;1;26;802;430,55;17,94;3320;4;4;12;20;32;44;44
4;1;32;802;405,14;16,88;5648;12;32;36;36;40;48;56
4;4;23;802;388,00;16,17;3304;8;12;20;24;28;28;28
3;3;11;802;398,15;16,59;5608;12;24;32;40;44;52;52
4;4;33;802;416,40;17,35;3584;8;8;16;24;32;36;40
4;1;24;802;374,67;15,61;4728;12;20;28;36;36;36;36
3;4;34;802;396,80;16,53;4368;16;20;28;28;28;40;40
4;4;31;802;402,67;16,78;2480;8;8;12;12;16;20;24
3;1;25;802;363,33;15,14;3424;4;12;16;24;24;24;24
3;2;42;802;398,86;16,62;3000;4;12;20;24;28;28;28
4;3;34;802;402,67;16,78;4960;8;24;32;36;44;44;48
3;1;22;802;384,00;16,00;4392;8;20;28;32;36;36;36
3;3;42;802;396,31;16,51;5704;16;20;40;40;44;52;52
4;3;46;802;384,25;16,01;7792;20;28;48;52;64;64;64
4;1;45;802;420,67;17,53;2048;4;4;16;16;16;16;24
3;4;22;802;412,00;17,17;1880;4;4;12;12;16;16;20
3;2;31;802;377,25;15,72;8240;32;40;48;52;56;56;64
4;4;14;802;437,33;18,22;824;0;4;4;4;4;12;12
3;4;33;802;411,38;17,14;4920;12;12;16;36;40;52;52
4;4;23;802;396,31;16,51;5704;8;20;36;44;52;52;52
3;1;45;802;369,75;15,41;8720;28;36;52;56;60;64;64
4;2;46;802;359,25;14,97;9392;32;36;56;60;64;64;64
4;3;33;802;369,11;15,38;9856;44;52;56;56;64;72;72
3;4;44;802;390,40;16,27;2312;4;12;12;16;20;20;20
4;2;22;802;390,57;16,27;6464;16;24;36;36;48;52;56
4;1;36;802;385,18;16,05;8216;20;24;44;60;68;68;68
4;4;16;802;382,00;15,92;6944;20;28;44;48;52;56;56
3;2;11;802;389,67;16,24;5584;12;24;32;32;44;48;48
3;1;34;802;391,06;16,29;7816;16;40;44;52;60;68;68
3;3;42;802;385,14;16,05;6768;12;32;40;44;52;56;56
3;1;46;802;374,40;15,60;7896;20;36;44;48;56;60;60
3;1;45;802;376,33;15,68;6224;24;24;32;44;48;48;48
3;2;42;802;389,33;16,22;5600;16;28;36;36;40;44;48
3;4;21;802;376,00;15,67;7280;20;32;44;48;52;52;56
4;4;26;802;354,22;14,76;10928;44;44;56;64;64;72;72
3;4;21;802;375,50;15,65;8352;32;40;44;52;52;60;64
4;4;36;802;380,60;15,86;10032;32;44;52;64;68;76;80
3;3;15;802;376,84;15,70;9816;32;44;56;64;64;72;76
4;4;33;802;390,48;16,27;9704;24;40;60;72;76;76;84
3;1;35;802;406,46;16,94;5176;16;20;32;36;40;48;52
4;1;44;802;400,00;16,67;5512;12;24;28;36;44;52;52
3;3;26;802;384,29;16,01;6816;20;32;40;40;40;52;56
4;2;34;802;418,91;17,45;3832;0;8;20;28;36;44;44
4;4;36;802;413,60;17,23;5544;12;24;28;40;44;52;60
3;2;44;802;344,67;14,36;11616;36;52;64;64;68;72;72
4;3;44;802;388,53;16,19;7048;20;28;44;52;56;56;60
4;3;44;802;400,00;16,67;5512;8;20;24;36;40;44;52
3;3;13;802;402,74;16,78;7848;16;32;40;48;56;64;76
4;4;46;802;394,74;16,45;8456;16;24;48;72;76;76;76
4;2;23;802;384,75;16,03;7760;20;24;40;44;52;64;64
3;3;14;802;381,40;15,89;9968;20;40;56;68;76;80;80
4;4;43;802;382,00;15,92;8928;28;36;48;56;68;72;72
4;4;22;802;426,29;17,76;4464;4;4;16;32;48;56;56
4;2;42;802;418,57;17,44;4896;4;20;28;36;44;48;56
3;3;22;802;384,71;16,03;8248;16;40;48;60;60;60;68
3;1;42;815;405,54;16,90;5224;12;20;28;36;48;48;52
4;4;21;815;403,33;16,81;2464;0;8;8;20;24;24;24
3;4;26;815;399,33;16,64;2560;0;4;24;24;24;24;24
3;1;33;815;396,29;16,51;6144;8;24;32;44;52;52;56
4;1;44;815;421,33;17,56;2032;0;0;12;16;20;24;24
3;2;15;815;407,25;16,97;6320;12;20;40;48;56;60;64
4;3;23;815;470,67;19,61;424;0;0;0;0;4;8;12
4;2;46;815;397,78;16,57;3896;8;16;24;24;24;28;36
3;2;22;815;402,29;16,76;5808;8;20;36;40;52;52;56
4;2;13;815;444,80;18,53;1224;0;0;0;4;16;20;20
4;1;32;815;415,20;17,30;1816;4;12;12;12;12;16;20
3;2;33;815;399,43;16,64;5968;8;24;32;44;52;52;56
3;3;23;815;410,00;17,08;3840;12;12;16;24;32;36;40
3;4;24;815;364,67;15,19;3392;12;20;20;20;20;20;24
3;3;16;815;405,33;16,89;3624;8;20;24;24;28;32;36
3;1;31;815;376,50;15,69;8288;28;40;52;52;60;64;64
